antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'REGENCY TEA PLATE PINK'}),"frozenset({'REGENCY TEA PLATE ROSES', 'REGENCY TEA PLATE GREEN'})",0.012226406855520986,0.012499317722831723,0.010097702090497243,0.8258928571428572,66.0750350904554,1.0,0.009944880346601478,5.67179879051502,0.9970561045656365,0.6902985074626865,0.8236890910741923,0.8168765595757954
"frozenset({'REGENCY TEA PLATE ROSES', 'REGENCY TEA PLATE GREEN'})",frozenset({'REGENCY TEA PLATE PINK'}),0.012499317722831723,0.012226406855520986,0.010097702090497243,0.8078602620087336,66.0750350904554,1.0,0.009944880346601478,5.140912564320129,0.9973316562195623,0.6902985074626865,0.8054820058718024,0.8168765595757954
"frozenset({'REGENCY TEA PLATE ROSES', 'REGENCY TEA PLATE PINK'})",frozenset({'REGENCY TEA PLATE GREEN'}),0.010752688172043012,0.01473718683477976,0.010097702090497243,0.9390862944162436,63.72222222222222,1.0,0.009939237715929718,16.17473118279568,0.9950058754406579,0.6560283687943261,0.938175170350673,0.8121357398007144
frozenset({'REGENCY TEA PLATE GREEN'}),"frozenset({'REGENCY TEA PLATE ROSES', 'REGENCY TEA PLATE PINK'})",0.01473718683477976,0.010752688172043012,0.010097702090497243,0.6851851851851852,63.72222222222222,1.0,0.009939237715929718,3.1423149905123346,0.999029775995041,0.6560283687943261,0.6817632850241546,0.8121357398007144
frozenset({'REGENCY TEA PLATE PINK'}),frozenset({'REGENCY TEA PLATE GREEN'}),0.012226406855520986,0.01473718683477976,0.011025599039353746,0.9017857142857143,61.19117063492064,1.0,0.010845416197205901,10.031766824954971,0.9958332353100481,0.6917808219178081,0.90031666231392,0.8249669312169312
frozenset({'REGENCY TEA PLATE GREEN'}),frozenset({'REGENCY TEA PLATE PINK'}),0.01473718683477976,0.012226406855520986,0.011025599039353746,0.7481481481481481,61.19117063492064,1.0,0.010845416197205901,3.922042208073666,0.9983709522689014,0.6917808219178081,0.7450307908615915,0.8249669312169312
"frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE BEDROOM""})","frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})",0.013863872059385404,0.01375470771246111,0.01015228426395939,0.7322834645669292,53.23875140607424,1.0,0.009961590756019588,3.6839162388387487,0.9950114002181845,0.5812499999999999,0.7285497456600094,0.7351893513310837
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE BEDROOM""})",0.01375470771246111,0.013863872059385404,0.01015228426395939,0.738095238095238,53.238751406074236,1.0,0.009961590756019588,3.765247033955073,0.9949012655787226,0.5812499999999999,0.7344131763515169,0.7351893513310837
frozenset({'REGENCY SUGAR BOWL GREEN'}),frozenset({'REGENCY MILK JUG PINK'}),0.014628022487855467,0.014846351181704055,0.011243927733202336,0.7686567164179104,51.77411654960492,1.0,0.01102675497425377,4.258406094891988,0.9952437778945381,0.6167664670658682,0.7651703530108337,0.7630048287971906
frozenset({'REGENCY MILK JUG PINK'}),frozenset({'REGENCY SUGAR BOWL GREEN'}),0.014846351181704055,0.014628022487855467,0.011243927733202336,0.7573529411764707,51.77411654960492,1.0,0.01102675497425377,4.060926937625809,0.9954643427519584,0.6167664670658682,0.7537508023760106,0.7630048287971906
frozenset({'REGENCY TEA PLATE ROSES'}),"frozenset({'REGENCY TEA PLATE PINK', 'REGENCY TEA PLATE GREEN'})",0.0179029528955843,0.011025599039353746,0.010097702090497243,0.5640243902439025,51.15589531514128,1.0,0.009900311310250093,2.268416807797846,0.9983248740876707,0.536231884057971,0.559163908254238,0.7399329872011592
"frozenset({'REGENCY TEA PLATE PINK', 'REGENCY TEA PLATE GREEN'})",frozenset({'REGENCY TEA PLATE ROSES'}),0.011025599039353746,0.0179029528955843,0.010097702090497243,0.9158415841584159,51.15589531514127,1.0,0.009900311310250093,11.669623736181885,0.9913824967967028,0.536231884057971,0.9143074341892035,0.7399329872011592
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM"", ""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",0.011735167294361661,0.017247966814038534,0.01015228426395939,0.8651162790697674,50.15758021783927,1.0,0.00994987648790905,7.28592024603385,0.9917006065832155,0.5391304347826087,0.862748977997068,0.7268619370032381
"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})","frozenset({""POPPY'S PLAYHOUSE LIVINGROOM"", ""POPPY'S PLAYHOUSE KITCHEN""})",0.017247966814038534,0.011735167294361661,0.01015228426395939,0.5886075949367088,50.15758021783926,1.0,0.00994987648790905,2.4022437471921667,0.9972636035987613,0.5391304347826087,0.5837225089382216,0.7268619370032381
frozenset({'REGENCY TEA PLATE ROSES'}),frozenset({'REGENCY TEA PLATE PINK'}),0.0179029528955843,0.012226406855520986,0.010752688172043012,0.6006097560975611,49.123979202961685,1.0,0.01053379938602637,2.4732041110793066,0.9975015664580219,0.5549295774647889,0.5956662066344376,0.7400370209059235
frozenset({'REGENCY TEA PLATE PINK'}),frozenset({'REGENCY TEA PLATE ROSES'}),0.012226406855520986,0.0179029528955843,0.010752688172043012,0.8794642857142858,49.12397920296168,1.0,0.01053379938602637,8.1477680944959,0.9917691156146979,0.5549295774647889,0.8772670026438855,0.7400370209059235
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM"", ""POPPY'S PLAYHOUSE BEDROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.011189345559740188,0.018885432017902954,0.01015228426395939,0.9073170731707317,48.043225715494145,1.0,0.009940968639066093,10.585709812438418,0.9902658376009326,0.5095890410958903,0.9055330235082601,0.7224446637529959
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE LIVINGROOM"", ""POPPY'S PLAYHOUSE BEDROOM""})",0.018885432017902954,0.011189345559740188,0.01015228426395939,0.53757225433526,48.043225715494145,1.0,0.009940968639066093,2.1383030402270613,0.9980337087053405,0.5095890410958903,0.5323394387103279,0.7224446637529959
frozenset({'REGENCY TEA PLATE GREEN'}),frozenset({'REGENCY TEA PLATE ROSES'}),0.01473718683477976,0.0179029528955843,0.012499317722831723,0.8481481481481482,47.374762872628736,1.0,0.012235478561115235,6.467468358980301,0.9935336052944603,0.6205962059620597,0.8453799934542446,0.7731594399277326
frozenset({'REGENCY TEA PLATE ROSES'}),frozenset({'REGENCY TEA PLATE GREEN'}),0.0179029528955843,0.01473718683477976,0.012499317722831723,0.6981707317073171,47.374762872628736,1.0,0.012235478561115235,3.2643050779615383,0.9967362368237818,0.6205962059620597,0.6936560841842423,0.7731594399277326
"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})","frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})",0.017247966814038534,0.01375470771246111,0.011189345559740188,0.6487341772151899,47.16451928872815,1.0,0.01095210481757886,2.807689300566327,0.9959761854769339,0.5647382920110193,0.6438352349747908,0.7311131203536266
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",0.01375470771246111,0.017247966814038534,0.011189345559740188,0.8134920634920634,47.164519288728144,1.0,0.01095210481757886,5.2692236672949395,0.9924484597660189,0.5647382920110193,0.8102187223125851,0.7311131203536266
frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.01555591943671197,0.01773920637519786,0.012881392937066754,0.8280701754385965,46.68022672064778,1.0,0.01260544327182297,5.713149513940176,0.9940408730561476,0.6310160427807489,0.8249651969443502,0.7771120107962214
frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.01773920637519786,0.01555591943671197,0.012881392937066754,0.7261538461538463,46.68022672064778,1.0,0.01260544327182297,3.5948800694726826,0.9962503437675416,0.6310160427807489,0.7218266032038488,0.7771120107962214
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.01375470771246111,0.018885432017902954,0.011735167294361661,0.8531746031746031,45.17633498486099,1.0,0.011475403696931851,6.682185706256443,0.9915023417983002,0.5613577023498694,0.8503483674415524,0.7372809432057987
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})",0.018885432017902954,0.01375470771246111,0.011735167294361661,0.6213872832369942,45.17633498486099,1.0,0.011475403696931851,2.6048921460418963,0.9966873888152149,0.5613577023498694,0.6161069464931634,0.7372809432057987
frozenset({'CHILDRENS CUTLERY DOLLY GIRL'}),frozenset({'CHILDRENS CUTLERY SPACEBOY'}),0.014628022487855467,0.017247966814038534,0.011298509906664483,0.7723880597014925,44.78139760060457,1.0,0.011046206260238943,4.317664670390781,0.9921829738577046,0.5490716180371352,0.7683933152896998,0.7137256754203665
frozenset({'CHILDRENS CUTLERY SPACEBOY'}),frozenset({'CHILDRENS CUTLERY DOLLY GIRL'}),0.017247966814038534,0.014628022487855467,0.011298509906664483,0.6550632911392406,44.78139760060457,1.0,0.011046206260238943,2.8566747237966763,0.9948280603750702,0.5490716180371352,0.649942644267547,0.7137256754203665
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",0.018885432017902954,0.017247966814038534,0.013863872059385404,0.7341040462427745,42.561772883588205,1.0,0.013538136754671833,3.696002211764593,0.9953014357210912,0.6225490196078433,0.7294373913476185,0.7689507572986024
"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.017247966814038534,0.018885432017902954,0.013863872059385404,0.8037974683544303,42.5617728835882,1.0,0.013538136754671833,5.000519411005526,0.99364306065463,0.6225490196078433,0.8000207742821429,0.7689507572986024
frozenset({'SCANDINAVIAN PAISLEY PICNIC BAG'}),frozenset({'PINK VINTAGE PAISLEY PICNIC BAG'}),0.017411713334424976,0.015446755089787675,0.010861852518967305,0.6238244514106583,40.385469167118984,1.0,0.010592898047396852,2.6172707093863146,0.9925200940822321,0.4937965260545905,0.6179225953151498,0.6635023317123963
frozenset({'PINK VINTAGE PAISLEY PICNIC BAG'}),frozenset({'SCANDINAVIAN PAISLEY PICNIC BAG'}),0.015446755089787675,0.017411713334424976,0.010861852518967305,0.7031802120141343,40.38546916711898,1.0,0.010592898047396852,3.310386727694735,0.9905392357061947,0.4937965260545905,0.6979204901850324,0.6635023317123963
frozenset({'SMALL DOLLY MIX DESIGN ORANGE BOWL'}),frozenset({'SMALL MARSHMALLOWS PINK BOWL'}),0.019704164619835162,0.01571966595709841,0.012280989028983134,0.6232686980609419,39.64897853185596,1.0,0.01197124614319565,2.612685298452114,0.9943719376391983,0.5306603773584906,0.6172520277920766,0.7022593490304709
frozenset({'SMALL MARSHMALLOWS PINK BOWL'}),frozenset({'SMALL DOLLY MIX DESIGN ORANGE BOWL'}),0.01571966595709841,0.019704164619835162,0.012280989028983134,0.78125,39.64897853185595,1.0,0.01197124614319565,4.481352390309325,0.990346586813065,0.5306603773584906,0.7768530762806236,0.7022593490304709
frozenset({'FELTCRAFT CUSHION RABBIT'}),frozenset({'FELTCRAFT CUSHION BUTTERFLY'}),0.017684624201735714,0.016047158997871295,0.0109710168658916,0.6203703703703703,38.65920256991686,1.0,0.010687228889508744,2.59187577629829,0.9916702534999614,0.4820143884892086,0.6141790400818525,0.6520219198790627
frozenset({'FELTCRAFT CUSHION BUTTERFLY'}),frozenset({'FELTCRAFT CUSHION RABBIT'}),0.016047158997871295,0.017684624201735714,0.0109710168658916,0.6836734693877551,38.65920256991685,1.0,0.010687228889508744,3.1053840912332227,0.9900199452065684,0.4820143884892086,0.6779786426989532,0.6520219198790627
frozenset({'REGENCY SUGAR BOWL GREEN'}),frozenset({'REGENCY TEAPOT ROSES'}),0.014628022487855467,0.01932208940560013,0.010698105998580863,0.7313432835820896,37.85011383759171,1.0,0.01041546204024339,3.650301111656933,0.9880329686851753,0.46009389671361495,0.7260499971340493,0.6425077999831352
frozenset({'REGENCY TEAPOT ROSES'}),frozenset({'REGENCY SUGAR BOWL GREEN'}),0.01932208940560013,0.014628022487855467,0.010698105998580863,0.5536723163841808,37.8501138375917,1.0,0.01041546204024339,2.207732152147463,0.9927622409792102,0.46009389671361495,0.5470465024358597,0.6425077999831352
